borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Camden,,National Institute for Social Work,5090642,E09000007,5 Tavistock Place,,,King's Cross,E05000141,-0.12738411216274453,529782.6661963338,51.52526290782838,182474.75646050146,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucs.org.uk/,University College School,5090680,E09000007,University College School Archives ,Frognal ,Hampstead,Frognal and Fitzjohns,E05000133,-0.18108200818973919,525980.5417153527,51.55350825045274,185521.1258985903,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/about_us/departments/ancient_egypt_and_sudan.aspx,British Museum: Department of Ancient Egypt and Sudan,5090682,E09000007,Great Russell Street,,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/about_us/departments/middle_east.aspx,British Museum: Department of the Ancient Near East,5090682,E09000007,Great Russell Street,,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/about_us/departments/prints_and_drawings.aspx,British Museum: Department of Prints and Drawings,5090682,E09000007,Great Russell Street,,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/about_us/departments/greece_and_rome.aspx,British Museum: Department of Greek and Roman Antiquities,5090682,E09000007,Great Russell Street,,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,"https://www.britishmuseum.org/about_us/departments/britain,_europe_and_prehistory.aspx","British Museum: Department of Britain, Europe and Prehistory",5090682,E09000007,Great Russell Street,,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/research/research_projects/complete_projects/featured_project_inca_ushnus/studying_ushnus/ethnography.aspx,British Museum Ethnography Library,5090682,E09000007,Centre for Anthropology ,British Museum ,Bloomsbury,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://www.britishmuseum.org/research/libraries_and_archives.aspx,British Museum Central Archive,5090682,E09000007,British Museum ,Great Russell Street,,Bloomsbury,E05000129,-0.1268478205126898,529836.6451076878,51.51936410517438,181819.8765868023,Camden,Archives,E09000007,09/05/2021
Camden,https://highgatecemetery.org/,Highgate Cemetery,5090701,E09000007,Swain's Lane Highgate,,,Highgate,E05000137,-0.14679733819192928,528319.0114437933,51.56691028742733,187070.8446237055,Camden,Archives,E09000007,09/05/2021
Camden,https://www.lshtm.ac.uk/,London University: London School of Hygiene and Tropical Medicine,5090709,E09000007,Keppel Street,,,Bloomsbury,E05000129,-0.13066122701244,529567.7075796429,51.52092671736654,181986.84177814645,Camden,Archives,E09000007,09/05/2021
Camden,https://www.gosh.nhs.uk/about-us/our-history/archives,Great Ormond Street Hospital Archives,5090726,E09000007,Museum and Archives Service Great Ormond Street Hospital for Children NHS Trust Great Ormond Street,,,Holborn and Covent Garden,E05000138,-0.11989817016634433,530310.5433281378,51.522211550417445,182148.82459958084,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucu.org.uk/,National Association of University and College Union,5107848,E09000007,Carlow Street,,,Regent's Park,E05000142,-0.13979701533634004,528893.878864994,51.535145528315894,183551.5460641841,Camden,Archives,E09000007,09/05/2021
Camden,http://www.bbk.ac.uk/,London University: Birkbeck College,5108194,E09000007,The Library, Malet Street,,Bloomsbury,E05000129,-0.13033335217409664,529587.7046705473,51.52189270721588,182094.82235695206,Camden,Archives,E09000007,09/05/2021
Camden,https://www.lincolnsinn.org.uk/index.php/library/the-inns-archives,Lincoln's Inn Archives,5110067,E09000007,Lincoln's Inn Library ,Lincoln's Inn,,Holborn and Covent Garden,E05000138,-0.11445744429589674,530704.4475469372,51.51643181590802,181515.9455439131,Camden,Archives,E09000007,09/05/2021
Camden,http://www.uclh.nhs.uk/ourservices/ourhospitals/rlhim/pages/camlis.aspx,CAMLIS (Complimentary and Alternative Medicine Library and Information Service) Archive,5123747,E09000007,The Royal London Homoeopathic Hospital ,60 Great Ormond Street,,Holborn and Covent Garden,E05000138,-0.12137348642779974,530209.5652885546,51.521740582599236,182093.83286810206,Camden,Archives,E09000007,09/05/2021
Camden,https://www.housing.org.uk/,National Housing Federation,5135098,E09000007,Lion Court ,25 Procter Street,,Holborn and Covent Garden,E05000138,-0.11956318414375913,530344.5306904294,51.51844720960673,181730.9006682376,Camden,Archives,E09000007,09/05/2021
Camden,https://www.rada.ac.uk/,Royal Academy of Dramatic Art,5136140,E09000007,18-22 Chenies Street,,,Bloomsbury,E05000129,-0.13226278954051948,529456.7322331958,51.520889276612664,181979.84128695092,Camden,Archives,E09000007,09/05/2021
Camden,https://www.soane.org/,Sir John Soane's Museum,5137612,E09000007,13 Lincolns Inn Fields,,,Holborn and Covent Garden,E05000138,-0.11751871402941119,530490.4962235014,51.51699356448878,181572.9315259229,Camden,Archives,E09000007,09/05/2021
Camden,https://www.cssd.ac.uk/,Central School of Speech and Drama,5139115,E09000007,Embassy Theatre ,64 Eton Avenue,,Belsize,E05000128,-0.17417950696063908,526484.4308205495,51.54432752969135,184512.32929997123,Camden,Archives,E09000007,09/05/2021
Camden,http://www.benuri.org.uk/,Ben Uri Art Society and Gallery,5144462,E09000007,108a Boundary Road,,,Kilburn,E05000140,-0.18536708066627314,525727.5861518624,51.53754080094578,183738.46554840181,Camden,Archives,E09000007,09/05/2021
Camden,https://www.huguenotsociety.org.uk/library-and-archive.html,Huguenot Library,5148596,E09000007,UCL Gower Street,,,Bloomsbury,E05000129,-0.13239806496274617,529439.7404543821,51.52357126137597,182277.78637728648,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/library/subject-support/guides/egyptology,London University: University College Department of Egyptology,5148596,E09000007,Petrie Museum of Egyptian Archaeology University College ,Gower Street,,Bloomsbury,E05000129,-0.13239806496274617,529439.7404543821,51.52357126137597,182277.78637728648,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/library/special-collections/a-z/jewish-library,Jewish Studies Library,5148596,E09000007,University College ,London Gower Street,,Bloomsbury,E05000129,-0.13239806496274617,529439.7404543821,51.52357126137597,182277.78637728648,Camden,Archives,E09000007,09/05/2021
Camden,https://www.wienerlibrary.co.uk/,The Wiener Library for the Study of the Holocaust and Genocide,5155308,E09000007,29 Russell Square,,,Bloomsbury,E05000129,-0.1279667573405763,529752.6673035099,51.52160317147653,182066.8302107402,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/americas/,London University: Institute for the Study of the Americas,5155310,E09000007,35 Tavistock Square,,,Bloomsbury,E05000129,-0.12985202700930068,529612.7037763007,51.52484364270287,182423.76269903046,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/library/libraries-and-study-spaces/royal-free-hospital-medical-library-ucl-library-services,Royal Free Hospital Medical Library,5155897,E09000007,Royal Free Hospital ,Rowland Hill Street,,Hampstead Town,E05000135,-0.1662887879466648,527007.3178266516,51.552981261195,185488.1476389714,Camden,Archives,E09000007,09/05/2021
Camden,https://www.teamgb.com/,British Olympic Association,5155903,E09000007,60 Charlotte Street,,,Bloomsbury,E05000129,-0.13611727479365904,529191.789279947,51.520042315346814,181878.85611021658,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/ion/queen-square-library,"University College London (UCL) Queen Square Library, Archive and Museum",5157304,E09000007,UCL Institute of Neurology & The National Hospital for Neurology & Neurosurgery (UCLH) ,1st Floor ,23 Queen Square,Holborn and Covent Garden,E05000138,-0.12243391165351752,530133.583492598,51.52259388385289,182186.81475674687,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/library/special-collections/a-z/folklore,Folklore Society Archives,5157421,E09000007,University College London Library,Special Collections Gower Street,,Bloomsbury,E05000129,-0.1332685801116561,529375.7567335854,51.52484409581016,182417.75965464022,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/library/special-collections,London University: University College London (UCL) Special Collections,5157421,E09000007,Library Services University College London ,Gower St,,Bloomsbury,E05000129,-0.1332685801116561,529375.7567335854,51.52484409581016,182417.75965464022,Camden,Archives,E09000007,09/05/2021
Camden,http://www.dwl.ac.uk/,Dr Williams's Library,5162943,E09000007,14 Gordon Square,,,Bloomsbury,E05000129,-0.13156145897257282,529496.7283902157,51.52393563525784,182319.77964211785,Camden,Archives,E09000007,09/05/2021
Camden,http://conglib.co.uk/,Congregational Library,5162943,E09000007,14 Gordon Square,,,Bloomsbury,E05000129,-0.13156145897257282,529496.7283902157,51.52393563525784,182319.77964211785,Camden,Archives,E09000007,09/05/2021
Camden,https://www.arts.ac.uk/colleges/central-saint-martins,University of the Arts London: Central St Martins College of Art and Design,5162950,E09000007,Museum and Study Collection Central Saint Martins ,Granary Building ,1 Granary Square,St. Pancras and Somers Town,E05000143,-0.12551216764388018,529883.657083918,51.535385813343225,183603.55515699077,Camden,Archives,E09000007,09/05/2021
Camden,http://www.rcgp.org.uk/,Royal College of General Practitioners,5164098,E09000007,30 Euston Square,,,Regent's Park,E05000142,-0.1341506839841021,529309.7739273475,51.526539766642756,182604.72459765663,Camden,Archives,E09000007,09/05/2021
Camden,http://www.guinnesspartnership.com/,The Guinness Partnership,5164261,E09000007,30 Brock Street ,Regent's Place,,Regent's Park,E05000142,-0.13959341529106092,528933.8562288207,51.525996712177935,182534.7314737941,Camden,Archives,E09000007,09/05/2021
Camden,,National League of the Blind and Disabled,5166668,E09000007,324 Gray's Inn Road,,,King's Cross,E05000141,-0.11935073099564593,530329.5480865546,51.52884841877594,182887.6921710766,Camden,Archives,E09000007,09/05/2021
Camden,https://www.aaschool.ac.uk/AASCHOOL/LIBRARY/archive.php,Architectural Association Archives,5183821,E09000007,No. 32 Bedford Square,,,Bloomsbury,E05000129,-0.1310188024173755,529549.7076943724,51.518531355785335,181719.8903434294,Camden,Archives,E09000007,09/05/2021
City and County of th,https://store.lexisnexis.co.uk/categories/butterworths-law-books,LexisNexis Butterworths,95500066,E09000001,Halsbury House,35 Chancery Lane,,Farringdon Without,E05009305,-0.11152206529322226,530908.4015566065,51.51631265846785,181507.9508005145,Camden,Archives,E09000007,09/05/2021
City and County of th,https://www.tax.org.uk/homepage,Chartered Insitute of Taxation,95509816,E09000001,Tony Arnold Library,Maughan Library,Chancery Lane,Farringdon Without,E05009305,-0.11032837534025211,530994.380536639,51.51520531218717,181386.97437815467,Camden,Archives,E09000007,09/05/2021
City and County of th,https://www.kcl.ac.uk/library/archivespec/special-collections/Individualcollections/fco.aspx,Foreign and Commonwealth Office Library,95509816,E09000001,c/o Foyle Special Collections Library King's College Chancery Lane,,,Farringdon Without,E05009305,-0.11032837534025211,530994.380536639,51.51520531218717,181386.97437815467,Camden,Archives,E09000007,09/05/2021
